Time (s),Rotational Speed (rpm/sec),Torque (in-lb)
119,4932.35164835165,0.18
120,4948.79120879121,0.21
121,4948.79120879121,0.21
122,4980.7032967033,0.2
123,4900.43956043956,0.21
124,4971.03296703297,0.17
125,4935.73626373626,0.22
126,4953.62637362637,0.24
127,4997.62637362637,0.19
128,4945.89010989011,0.19
129,4969.0989010989,0.23
130,4967.64835164835,0.17
131,4954.10989010989,0.17
132,4948.30769230769,0.15
133,4964.26373626374,0.19
134,4972,0.2
135,4952.17582417582,0.2
136,4914.94505494505,0.22
137,4982.63736263736,0.17
138,4923.64835164835,0.17
139,4950.24175824176,0.19
140,4934.76923076923,0.17
141,4972.48351648351,0.17
142,4987.47252747253,0.17
143,4970.06593406593,0.15
144,4901.40659340659,0.21
145,5009.23076923077,0.17
146,4947.34065934066,0.13
147,4952.17582417582,0.19
148,4959.42857142857,0.18
149,4922.68131868132,0.21
150,4989.89010989011,0.18
151,4992.79120879121,0.21
152,4934.28571428571,0.18
153,4877.23076923077,0.23
154,4970.06593406593,0.17
155,4956.52747252747,0.19
156,4969.58241758242,0.22
157,5013.0989010989,0.2
158,4975.38461538462,0.21
159,4966.1978021978,0.15
160,4942.98901098901,0.15
161,4970.06593406593,0.21
162,4996.65934065934,0.16
163,4972.96703296703,0.17
164,4975.38461538462,0.19
165,4990.37362637363,0.16
166,5041.14285714286,0.18
167,4967.64835164835,0.18
168,5020.83516483516,0.19
169,5023.25274725275,0.19
170,5036.79120879121,0.18
171,5018.9010989011,0.16
172,5014.06593406593,0.19
173,5040.17582417582,0.2
174,4996.65934065934,0.2
175,5040.65934065934,0.2
176,5084.65934065934,0.16
177,5063.38461538461,0.19
178,5062.9010989011,0.15
179,5030.98901098901,0.18
180,5041.62637362637,0.16
181,5052.26373626374,0.21
182,5073.05494505495,0.16
183,4992.79120879121,0.17
184,5044.52747252747,0.2
185,5114.63736263736,0.18
186,5054.68131868132,0.21
187,5067.25274725275,0.15
188,5064.35164835165,0.18
189,5086.10989010989,0.19
190,5139.2967032967,0.14
191,5054.1978021978,0.19
192,5040.65934065934,0.17
193,5025.67032967033,0.2
194,5031.95604395604,0.17
195,5105.93406593407,0.16
196,5041.14285714286,0.19
197,5049.36263736264,0.22
198,5041.62637362637,0.19
199,5041.62637362637,0.21
200,5033.40659340659,0.18
201,5101.0989010989,0.18
202,5067.73626373626,0.17
203,5048.87912087912,0
204,30.4615384615385,0.02
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
